lat,lon,rr,tx,tn,rh
10.7137508,-1.630419,7.8754773,36.4331131,26.2269478,47.7508545
10.7137508,-1.5804191,8.207901,36.6092148,26.3858585,46.9698944
10.7137508,-1.530419,8.4636621,36.7855339,26.5404835,46.1948357
10.7137508,-1.480419,8.6812439,36.9591026,26.6886578,45.4378052
10.7137508,-1.430419,8.906599,37.1263466,26.8279037,44.7133369
10.7137508,-1.380419,8.9271698,37.283123,26.955471,44.0382271
10.7137508,-1.3304191,9.3532362,37.4248466,27.0684261,43.4310188
10.7137508,-1.280419,9.7668848,37.54673,27.1638374,42.9109802
10.7137508,-1.230419,10.3400984,37.6441689,27.2390251,42.4965553
10.7137508,-1.180419,10.9334984,37.7132072,27.2918644,42.2034187
10.7137508,-1.130419,11.4519768,37.7510185,27.3210869,42.0424347
10.7137508,-1.0804191,11.690217,37.75634,27.3265228,42.0179443
10.7137508,-1.030419,11.167841,37.7296982,27.3091984,42.1268272
10.7137508,-0.980419,9.9381227,37.6713295,27.2706375,42.3709145
10.7137508,-0.930419,9.3128223,37.5885506,27.2149467,42.7125854
10.7137508,-0.880419,10.468008,37.4845734,27.1452484,43.140789
10.7137508,-0.830419,12.5529184,37.3647156,27.065321,43.6328125
10.7137508,-0.780419,14.0281801,37.2342529,26.9787769,44.1663475
10.7137508,-0.730419,14.3864307,37.0979652,26.8888111,44.7212334
10.7137508,-0.680419,14.0068712,36.9599075,26.7980518,45.2805061
10.7137508,-0.630419,13.3636065,36.8232956,26.7085285,45.8308525
10.7137508,-0.580419,12.6815462,36.6905022,26.6217022,46.3625069
10.7137508,-0.530419,12.5164261,36.5631676,26.5385418,46.8688889
10.7137508,-0.480419,11.9507208,36.4423103,26.4596214,47.3460236
10.7137508,-0.430419,11.3769703,36.328476,26.3852158,47.7919731
10.7137508,-0.380419,10.7808723,36.2218475,26.3153839,48.2063065
10.7137508,-0.330419,10.1635046,36.1223564,26.2500362,48.5896492
10.7137508,-0.280419,9.5430136,36.043396,26.1958008,48.8479042
10.7137508,-0.230419,8.9526272,35.9580727,26.139164,49.1686592
10.7137508,-0.180419,8.4335909,35.8788986,26.0863018,49.4636269
10.7137508,-0.130419,8.0240316,35.805439,26.0369339,49.7348557
10.6637506,-2.880419,4.2570949,34.4243317,24.0378227,57.3896904
10.6637506,-2.8304191,3.6945794,34.4274712,24.0152721,57.431282
10.6637506,-2.7804191,3.2589989,34.4323692,23.997179,57.459137
10.6637506,-2.7304189,3.1935306,34.4395752,23.9847164,57.4694824
10.6637506,-2.680419,3.8707938,34.4497299,23.979126,57.4581985
10.6637506,-2.630419,4.8443885,34.4635544,23.9816666,57.4209595
10.6637506,-2.5804191,5.6817865,34.4818268,23.9935684,57.3533401
10.6637506,-2.5304191,5.9509664,34.5053558,24.0159607,57.2510223
10.6637506,-2.4804189,5.8418007,34.5349846,24.0498219,57.1099625
10.6637506,-2.430419,5.8730884,34.5715218,24.0959034,56.9266129
10.6637506,-2.380419,6.1376696,34.6157379,24.1546955,56.6980743
10.6637506,-2.3304191,6.3899097,34.6683121,24.2263851,56.4222488
10.6637506,-2.2804191,6.4441819,34.7107925,24.3041878,56.0599251
10.6637506,-2.2304189,6.2232594,34.7811928,24.4008389,55.6863403
10.6637506,-2.180419,5.7182403,34.8612518,24.5091248,55.2645493
10.6637506,-2.130419,4.6191287,34.9511566,24.6281414,54.7959633
10.6637506,-2.0804191,3.8280029,35.0509529,24.7568111,54.2826424
10.6637506,-2.0304191,3.1613338,35.1605568,24.8939552,53.7271538
10.6637506,-1.980419,2.7882018,35.2797432,25.0383339,53.1324539
10.6637506,-1.930419,2.7829194,35.4081841,25.1886864,52.5017815
10.6637506,-1.880419,3.0997465,35.5454102,25.3437672,51.8386078
10.6637506,-1.8304191,3.6184227,35.6908302,25.502346,51.1466599
